car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
Hyundai Grand,17,Comprehensive,Diesel,5,40326,First Owner,Manual,2017,24,1186,1186.0,7397.0,5.22
Datsun GO,19,Comprehensive,Petrol,5,40021,First Owner,Manual,2019,19,1198,1198.0,6705.0,3.92
Maruti Wagon,19,Comprehensive,Petrol,5,44000,First Owner,Manual,2019,998,6705,6705.0,90.0,3.99
Maruti Wagon,20,Third Party,Petrol,5,7962,First Owner,Manual,2019,20,1197,1197.0,8180.0,4.89
Toyota Innova,12,Comprehensive,Diesel,7,260000,First Owner,Manual,2012,12,2494,2494.0,102.0,6.25
Nissan Micra,18,Comprehensive,Petrol,5,44508,First Owner,Manual,2018,19,1198,1198.0,6704.0,3.38
Hyundai Elantra,14,Comprehensive,Petrol,5,58958,First Owner,Automatic,2014,14,1797,1797.0,1475.0,5.25
Maruti Ignis,18,Third Party insurance,Petrol,5,44000,Second Owner,Manual,2018,20,1197,1197.0,8180.0,4.65
Toyota Urban,22,Comprehensive,Petrol,5,48188,First Owner,Manual,2022,17,1462,1462.0,10326.0,8.25
Hyundai i10,09,Comprehensive,Petrol,5,55000,First Owner,Manual,2009,20,1197,1197.0,789.0,1.51
Hyundai Grand,13,Comprehensive,Petrol,5,24268,First Owner,Manual,2013,1197,82,82.0,114.0,2.85
Hyundai Creta,19,Comprehensive,Diesel,5,23000,First Owner,Automatic,2019,17,1582,1582.0,1262.0,10.5
MG Hector,20,Comprehensive,Petrol,5,38502,First Owner,Automatic,2020,13,1451,1451.0,141.0,13.75
Hyundai Creta,17,Comprehensive,Diesel,5,35000,First Owner,Manual,2017,19,1582,1582.0,1262.0,7.5
Kia Seltos,20,Comprehensive,Petrol,5,43487,First Owner,Manual,2020,16,1353,1353.0,13808.0,13.5
Maruti Vitara,18,Comprehensive,Diesel,5,32000,First Owner,Automatic,2018,24,1248,1248.0,885.0,7.5
Mercedes-Benz GLA,19,Third Party insurance,Diesel,5,14400,First Owner,Automatic,2019,17,2143,2143.0,136.0,24.0
Volkswagen Polo,17,Comprehensive,Petrol,5,62920,First Owner,Manual,2017,1198,74,74.0,110.0,5.27
Maruti A-Star,12,Comprehensive,Petrol,5,60467,First Owner,Manual,2012,19,998,998.0,661.0,2.8
Hyundai i10,14,Comprehensive,Petrol,5,65017,Second Owner,Manual,2014,19,1086,1086.0,6805.0,2.25
Maruti Swift,17,Comprehensive,Petrol,5,38015,First Owner,Manual,2017,21,1197,1197.0,8180.0,5.47
Toyota Etios,17,Comprehensive,Petrol,5,49134,First Owner,Manual,2017,17,1197,1197.0,789.0,4.42
Maruti Wagon,16,Comprehensive,Petrol,5,37100,Second Owner,Automatic,2016,21,998,998.0,6705.0,3.1
Hyundai i20,21,Comprehensive,Petrol,5,69977,First Owner,Automatic,2021,20,998,998.0,11841.0,8.69
Nissan Micra,17,Comprehensive,Petrol,5,16937,First Owner,Automatic,2017,19,1198,1198.0,7594.0,3.25
Mahindra XUV500,18,Comprehensive,Diesel,7,51441,First Owner,Manual,2018,15,2179,2179.0,15287.0,10.71
Maruti Swift,17,Comprehensive,Petrol,5,53947,First Owner,Automatic,2017,21,1197,1197.0,8180.0,5.62
Kia Seltos,20,Comprehensive,Petrol,5,30000,First Owner,Manual,2020,16,1353,1353.0,13808.0,13.2
Hyundai i20,15,Third Party,Petrol,5,40909,First Owner,Manual,2015,18,1197,1197.0,8183.0,4.35
Mahindra TUV,19,Comprehensive,Diesel,7,70000,First Owner,Manual,2019,18,1493,1493.0,100.0,5.75
Maruti Swift,11,Comprehensive,Petrol,5,69000,Second Owner,Manual,2011,17,1197,1197.0,858.0,2.25
Honda Jazz,17,Comprehensive,Petrol,5,28662,First Owner,Manual,2017,18,1199,1199.0,887.0,3.85
Tata Harrier,21,Comprehensive,Diesel,5,46912,First Owner,Automatic,2021,14,1956,1956.0,16767.0,16.25
Audi Q3,,Third Party insurance,Petrol,5,90000,1984 cc,2014,Power Steering,1984,207,207.0,300.0,8.0
Volkswagen Vento,13,Comprehensive,Petrol,5,65000,First Owner,Manual,2013,15,1598,1598.0,1036.0,2.5
Mercedes-Benz C-Class,13,Comprehensive,Diesel,5,40238,First Owner,Automatic,2013,19,2143,2143.0,170.0,12.5
Volkswagen Ameo,20,Comprehensive,Diesel,5,52000,First Owner,Manual,2020,21,1498,1498.0,10862.0,4.45
Hyundai Santro,21,Comprehensive,Petrol,5,22873,First Owner,Manual,2021,20,1086,1086.0,6805.0,4.73
Maruti A-Star,12,Comprehensive,Petrol,5,77389,First Owner,Manual,2012,19,998,998.0,661.0,2.27
Maruti Swift,18,Comprehensive,Petrol,5,32000,First Owner,Manual,2018,22,1197,1197.0,8180.0,5.3
Skoda Rapid,16,Comprehensive,Diesel,5,88935,First Owner,Automatic,2016,21,1498,1498.0,10352.0,4.85
Nissan Micra,18,Comprehensive,Petrol,5,53681,Second Owner,Manual,2018,19,1198,1198.0,6704.0,3.04
Mahindra Bolero,18,Third Party insurance,Diesel,7,60000,First Owner,Manual,2018,15,2523,2523.0,621.0,5.65
Hyundai i20,15,Comprehensive,Diesel,5,49441,First Owner,Manual,2015,21,1396,1396.0,8873.0,4.89
Toyota Innova,19,Comprehensive,Diesel,7,41000,First Owner,Manual,2019,13,2393,2393.0,1478.0,16.95
Maruti Ciaz,21,Comprehensive,Petrol,5,23838,First Owner,Manual,2021,20,1462,1462.0,10325.0,8.85
Skoda Octavia,21,Comprehensive,Diesel,5,26719,First Owner,Manual,2021,16,1896,1896.0,90.0,7.89
Mercedes-Benz GLS,20,Comprehensive,Diesel,7,34987,First Owner,Automatic,2020,2925,3258640000000,3258640000000.0,700.0,1.1
Mahindra TUV,17,Comprehensive,Diesel,7,27236,Second Owner,Manual,2017,18,1493,1493.0,100.0,6.5
Honda City,15,Comprehensive,Diesel,5,41080,First Owner,Manual,2015,25,1498,1498.0,986.0,5.9
Toyota Etios,16,Comprehensive,Diesel,5,72793,First Owner,Manual,2016,23,1364,1364.0,6704.0,4.55
Hyundai i10,14,Comprehensive,Petrol,5,64000,Third Owner,Manual,2014,20,1197,1197.0,789.0,2.35
Jaguar F-Pace,,Third Party insurance,Diesel,5,30000,First Owner,Automatic,2020,16,1999,1999.0,177.0,39.0
Maruti Ignis,17,Comprehensive,Petrol,5,32002,First Owner,Manual,2017,20,1197,1197.0,8180.0,4.41
Renault Duster,18,Comprehensive,Diesel,5,105000,First Owner,Manual,2018,19,1461,1461.0,838.0,5.25
BMW 3,,Third Party insurance,Diesel,5,30000,First Owner,Automatic,2017,22,1995,1995.0,190.0,16.0
Maruti Wagon,20,Comprehensive,Petrol,5,20827,First Owner,Manual,2020,20,1197,1197.0,8180.0,4.6
Mahindra Bolero,17,Third Party insurance,Diesel,7,37852,Second Owner,Manual,2017,16,1493,1493.0,70.0,6.75
Tata Harrier,22,Comprehensive,Diesel,5,16683,First Owner,Automatic,2022,14,1956,1956.0,16767.0,19.24
Hyundai i10,11,Comprehensive,Petrol,5,53135,First Owner,Manual,2011,1197,789,789.0,1117.0,1.8
Hyundai Grand,17,Comprehensive,Petrol,5,32230,First Owner,Manual,2017,18,1197,1197.0,8186.0,5.13
BMW 5,22,Comprehensive,Diesel,5,11000,First Owner,Automatic,2022,20,1995,1995.0,18774.0,69.5
Volkswagen Taigun,22,Comprehensive,Petrol,5,10400,First Owner,Automatic,2022,18,999,999.0,11398.0,16.35
Hyundai Grand,22,Comprehensive,Petrol,5,23748,First Owner,Manual,2022,20,1197,1197.0,8186.0,6.55
Honda Amaze,18,Comprehensive,Petrol,5,13513,First Owner,Automatic,2018,18,1199,1199.0,8876.0,7.65
Tata Nexon,22,Third Party,Petrol,5,12952,First Owner,Automatic,2022,17,1199,1199.0,11835.0,10.99
Hyundai Grand,14,Comprehensive,Petrol,5,22672,First Owner,Manual,2014,18,1197,1197.0,82.0,3.84
Maruti Wagon,12,Comprehensive,Petrol,5,23000,First Owner,Manual,2012,18,998,998.0,671.0,2.9
Hyundai i20,17,Comprehensive,Petrol,5,41048,First Owner,Manual,2017,18,1197,1197.0,8183.0,5.48
Isuzu MU-X,,Third Party insurance,Diesel,7,40000,2999 cc,2018,Power Steering,2999,17457,17457.0,380.0,21.0
BMW 5,21,Comprehensive,Diesel,5,10000,First Owner,Automatic,2021,20,1995,1995.0,18774.0,58.75
Hyundai i10,13,Comprehensive,Petrol,5,1800,First Owner,Manual,2013,20,1197,1197.0,789.0,3.15
Jeep Compass,19,Comprehensive,Petrol,5,34000,First Owner,Automatic,2019,16,1368,1368.0,16077.0,17.5
Maruti Baleno,,Third Party insurance,Petrol,5,40000,First Owner,Manual,2016,21,1197,1197.0,831.0,4.7
Toyota Urban,21,Zero Dep,Petrol,5,30000,First Owner,Automatic,2021,18,1462,1462.0,10326.0,11.4
Hyundai Grand,18,Comprehensive,Petrol,5,22700,First Owner,Manual,2018,18,1197,1197.0,8186.0,5.45
BMW X7,19,Comprehensive,Petrol,7,28000,First Owner,Automatic,2019,10,2998,2998.0,33525.0,99.0
Maruti Wagon,10,Third Party,Petrol,5,79862,First Owner,Manual,2010,1061,67,67.0,84.0,1.69
Hyundai Creta,18,Comprehensive,Petrol,5,29146,First Owner,Automatic,2018,13,1591,1591.0,1213.0,11.35
Maruti Baleno,22,Comprehensive,Petrol,5,5500,First Owner,Automatic,2022,22,1197,1197.0,8850.0,9.35
Hyundai i10,14,Comprehensive,Petrol,5,35925,Second Owner,Manual,2014,20,1197,1197.0,789.0,3.14
Maruti Wagon,18,Comprehensive,Petrol,5,57999,First Owner,Automatic,2018,21,998,998.0,6705.0,4.59
Maruti Wagon,12,Comprehensive,Petrol,5,23000,First Owner,Manual,2012,18,998,998.0,671.0,2.9
Maruti Baleno,17,Comprehensive,Petrol,5,14352,Second Owner,Manual,2017,21,1197,1197.0,831.0,5.87
BMW 5,21,Comprehensive,Diesel,5,10000,First Owner,Automatic,2021,20,1995,1995.0,18774.0,58.75
Maruti Ertiga,14,Comprehensive,CNG,7,49999,First Owner,Manual,2014,22,1373,1373.0,809.0,6.34
Maruti Baleno,18,Comprehensive,Petrol,5,21194,First Owner,Manual,2018,21,1197,1197.0,831.0,6.37
Hyundai i10,13,Comprehensive,Petrol,5,1800,First Owner,Manual,2013,20,1197,1197.0,789.0,3.15
Hyundai Grand,20,Comprehensive,CNG,5,27019,First Owner,Manual,2020,1197,6805,6805.0,952.0,6.7
Audi A3,,Third Party insurance,Diesel,5,80000,1968 cc,2016,Power Steering,1968,143,143.0,320.0,15.3
Maruti Vitara,20,Comprehensive,Diesel,5,24000,First Owner,Automatic,2020,24,1248,1248.0,885.0,9.95
Honda City,10,Comprehensive,Petrol,5,32000,First Owner,Manual,2010,17,1497,1497.0,1186600.0,2.4
Volvo XC40,20,Third Party insurance,Petrol,5,22600,First Owner,Automatic,2020,1969,190,190.0,300.0,37.75
Volvo XC,,Third Party insurance,Petrol,7,10000,First Owner,Automatic,2022,17,1969,1969.0,29589.0,85.0
Jeep Compass,19,Comprehensive,Petrol,5,34000,First Owner,Automatic,2019,16,1368,1368.0,16077.0,17.5
Toyota Urban,21,Zero Dep,Petrol,5,30000,First Owner,Automatic,2021,18,1462,1462.0,10326.0,11.4
Hyundai Grand,18,Comprehensive,Petrol,5,22700,First Owner,Manual,2018,18,1197,1197.0,8186.0,5.45
Audi Q2,21,Comprehensive,Petrol,5,9700,First Owner,Automatic,2021,1984,18774,18774.0,320.0,35.49
Maruti Baleno,20,Comprehensive,Petrol,5,13519,First Owner,Manual,2020,21,1197,1197.0,8180.0,6.94
Hyundai Creta,17,Comprehensive,Petrol,5,45017,First Owner,Automatic,2017,13,1591,1591.0,1213.0,8.75
Maruti Swift,13,Comprehensive,Petrol,5,78308,First Owner,Manual,2013,22,1197,1197.0,8180.0,3.57
Honda Jazz,17,Third Party insurance,Petrol,5,79852,First Owner,Automatic,2017,18,1199,1199.0,887.0,5.69
BMW X7,19,Comprehensive,Petrol,7,28000,First Owner,Automatic,2019,10,2998,2998.0,33525.0,99.0
Hyundai EON,16,Zero Dep,Petrol,5,18049,First Owner,Manual,2016,21,814,814.0,552.0,3.15
Volkswagen Taigun,22,Comprehensive,Petrol,5,19500,First Owner,Manual,2022,19,999,999.0,11398.0,16.21
Audi Q5,18,Comprehensive,Diesel,5,35000,First Owner,Automatic,2018,17,1968,1968.0,188.0,41.99
Maruti Ignis,21,Comprehensive,Petrol,5,7643,First Owner,Manual,2021,20,1197,1197.0,8180.0,6.19
Hyundai i20,15,Third Party insurance,Petrol,5,12000,First Owner,Manual,2015,18,1197,1197.0,8183.0,5.31
Hyundai Grand,15,Comprehensive,Petrol,5,22316,First Owner,Automatic,2014,18,1197,1197.0,82.0,4.54
MG Hector,,Third Party insurance,Petrol,5,40000,Second Owner,Automatic,2021,1451,141,141.0,250.0,16.0
Hyundai i10,10,Third Party insurance,Petrol,5,45221,First Owner,Manual,2010,1197,789,789.0,1117.0,2.35
Maruti Baleno,21,Comprehensive,Petrol,5,35000,First Owner,Automatic,2021,19,1197,1197.0,8180.0,8.45
BMW X7,21,Zero Dep,Petrol,7,7000,First Owner,Automatic,2021,10,2998,2998.0,33525.0,1.15
MG Hector,,Third Party insurance,Diesel,5,40000,First Owner,Manual,2020,17,1956,1956.0,16768.0,17.0
Honda City,16,Comprehensive,Petrol,5,38671,Second Owner,Manual,2016,17,1497,1497.0,1173.0,6.25
Hyundai i20,12,Third Party insurance,Petrol,5,49303,Second Owner,Manual,2012,17,1197,1197.0,805200.0,2.8
Nissan Sunny,14,Comprehensive,Petrol,5,65000,First Owner,Automatic,2014,17,1498,1498.0,9961.0,2.95
Audi Q3,18,Comprehensive,Petrol,5,68000,First Owner,Automatic,2018,16,1395,1395.0,14751.0,24.99
Hyundai Venue,19,Comprehensive,Petrol,5,17536,First Owner,Manual,2019,18,998,998.0,11835.0,9.7
Honda Jazz,17,Third Party insurance,Petrol,5,30400,First Owner,Manual,2017,18,1199,1199.0,887.0,5.35
MG Hector,20,Comprehensive,Petrol,5,15071,First Owner,Manual,2020,1451,141,141.0,250.0,14.28
Maruti SX4,15,Comprehensive,Diesel,5,80100,First Owner,Manual,2015,23,1248,1248.0,885.0,6.25
Hyundai Verna,21,Comprehensive,Petrol,5,10773,First Owner,Automatic,2021,18,1497,1497.0,11318.0,11.85
Tata Tigor,20,Zero Dep,Petrol,5,10957,First Owner,Automatic,2020,20,1199,1199.0,8381.0,7.53
Tata Tiago,22,Comprehensive,Petrol,5,19000,First Owner,Manual,2022,20,1199,1199.0,8482.0,7.45
Hyundai Verna,15,Third Party insurance,Diesel,5,87900,Second Owner,Automatic,2015,22,1582,1582.0,12632.0,6.5
Maruti Ignis,22,Comprehensive,Petrol,5,16100,First Owner,Automatic,2021,20,1197,1197.0,8180.0,6.44
Toyota Etios,16,Comprehensive,Diesel,5,48650,First Owner,Manual,2016,23,1364,1364.0,6706.0,5.25
Hyundai Creta,18,Comprehensive,Petrol,5,29252,First Owner,Automatic,2018,14,1591,1591.0,1213.0,11.05
Maruti Ignis,,Third Party insurance,Petrol,5,2300,First Owner,Manual,2022,1197,8180,8180.0,113.0,5.9
Honda Jazz,18,Comprehensive,Petrol,5,19446,First Owner,Automatic,2018,18,1199,1199.0,887.0,6.5
Maruti Ertiga,22,Third Party insurance,CNG,7,26500,First Owner,Manual,2022,26,1462,1462.0,8663.0,11.5
Hyundai Creta,20,Comprehensive,Diesel,5,35000,First Owner,Automatic,2020,1493,11345,11345.0,250.0,17.41
Renault KWID,,Third Party insurance,Petrol,5,10000,999 cc,2022,Power Steering,999,6706,6706.0,91.0,3.98
Honda WR-V,17,Comprehensive,Petrol,5,49000,First Owner,Manual,2017,17,1199,1199.0,887.0,5.85
Volkswagen Polo,18,Comprehensive,Petrol,5,40000,Second Owner,Manual,2018,18,999,999.0,75.0,4.75
Maruti Swift,18,Comprehensive,Petrol,5,34756,First Owner,Manual,2018,20,1197,1197.0,8314.0,6.1
